City,Pop,PC_Inc,HHs,LHS,HS,SC_AA,BA,Prof_Grad,Inc_25K,Inc_25_50K,Inc_50_75K,Inc_75_100K,Inc_100_150K,Inc_150Kplus,MHI,BelowPov,Earn_35K,Earn_35K_65K,Earn_65Kplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gardena city, California","61,027","27,664","20,391",17.0%,24.5%,31.8%,19.1%,7.5%,18.6%,21.8%,16.4%,14.7%,16.8%,11.7%,"64,015",13.1%,35.3%,36.2%,28.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glendale city, California","196,543","36,857","74,766",12.0%,21.4%,25.0%,27.0%,14.6%,22.3%,15.9%,14.7%,11.4%,16.4%,19.5%,"70,596",13.9%,25.3%,31.0%,43.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glendora city, California","52,558","41,592","16,523",7.6%,19.8%,33.9%,24.4%,14.2%,10.3%,13.1%,15.2%,11.7%,23.6%,26.1%,"99,153",7.3%,22.4%,28.4%,49.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawaiian Gardens city, California","14,149","16,230","3,704",37.9%,26.0%,23.3%,9.6%,3.3%,22.2%,20.9%,21.0%,12.6%,17.8%,5.5%,"61,422",19.7%,51.9%,35.6%,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawthorne city, California","88,083","25,645","28,056",22.3%,24.2%,29.9%,16.3%,7.2%,18.8%,22.9%,21.6%,13.2%,13.9%,9.7%,"57,849",15.9%,39.5%,38.2%,22.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hermosa Beach city, California","19,728","96,883","8,596",2.1%,6.1%,14.8%,50.3%,26.7%,7.3%,6.8%,10.0%,8.1%,20.5%,47.3%,"142,500",4.2%,6.1%,16.6%,77.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hidden Hills city, California","1,725","127,665",712,3.6%,4.6%,20.6%,39.7%,31.5%,8.6%,2.7%,2.9%,1.8%,5.2%,78.8%,"250,000",8.9%,11.2%,9.7%,79.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huntington Park city, California","54,883","15,388","14,621",47.8%,25.4%,18.9%,6.4%,1.4%,24.4%,28.6%,19.1%,11.5%,11.4%,5.1%,"46,738",21.6%,60.5%,30.9%,8.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Industry city, California",264,"22,311",66,18.1%,34.8%,24.5%,17.4%,5.2%,9.1%,15.1%,21.2%,19.7%,15.2%,19.7%,"87,727",8.2%,37.5%,26.1%,36.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inglewood city, California","107,762","25,179","36,104",22.8%,22.2%,32.9%,14.8%,7.3%,19.7%,23.9%,18.1%,12.7%,15.6%,10.1%,"58,536",15.3%,38.1%,36.9%,25.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Irwindale city, California","1,472","28,278",405,20.5%,29.5%,33.1%,14.2%,2.6%,14.4%,14.8%,12.1%,23.0%,17.3%,18.6%,"86,250",8.5%,24.7%,39.4%,35.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Cañada Flintridge city, California","20,573","82,193","6,305",1.5%,6.7%,18.0%,37.2%,36.6%,6.2%,5.6%,7.7%,6.7%,16.1%,57.8%,"170,299",3.3%,12.0%,15.9%,72.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Habra city, California","63,097","30,422","19,515",15.4%,23.0%,33.3%,18.9%,9.4%,12.2%,15.1%,17.0%,15.7%,23.1%,16.9%,"83,532",10.5%,32.6%,32.4%,35.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lakewood city, California","82,496","35,330","25,560",9.4%,21.8%,37.6%,22.1%,9.0%,10.6%,13.7%,13.3%,14.1%,23.0%,25.3%,"96,487",5.9%,21.2%,32.6%,46.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Mirada city, California","48,008","33,439","14,777",10.0%,22.2%,31.9%,24.3%,11.7%,12.6%,13.1%,16.4%,12.1%,21.2%,24.6%,"92,493",5.1%,20.7%,34.6%,44.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lancaster city, California","173,516","22,315","47,883",17.9%,29.8%,33.1%,11.9%,7.2%,22.6%,21.4%,18.6%,12.7%,14.7%,9.9%,"58,413",20.2%,27.9%,41.0%,31.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Puente city, California","38,062","19,891","9,706",34.3%,30.6%,23.6%,9.1%,2.4%,14.3%,22.1%,18.9%,13.5%,18.0%,13.2%,"66,132",12.9%,46.4%,38.6%,15.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Verne city, California","31,334","41,442","11,775",6.6%,18.8%,35.5%,24.0%,15.1%,15.5%,13.5%,13.0%,10.6%,21.3%,26.1%,"93,473",8.4%,21.2%,26.3%,52.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lawndale city, California","31,807","24,233","9,726",27.1%,25.2%,27.2%,14.9%,5.6%,13.5%,21.9%,21.2%,13.7%,18.7%,10.9%,"65,923",12.0%,37.8%,36.4%,25.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lomita city, California","20,921","38,132","7,765",13.3%,21.6%,27.0%,25.7%,12.4%,18.8%,15.0%,15.1%,12.0%,20.1%,19.0%,"76,090",13.0%,25.4%,32.5%,42.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long Beach city, California","466,742","32,323","166,236",19.7%,17.7%,30.8%,20.5%,11.3%,17.8%,19.9%,17.1%,13.7%,15.8%,15.8%,"66,410",16.2%,32.5%,32.3%,35.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles city, California","3,898,747","35,261","1,402,522",21.7%,18.8%,23.8%,23.3%,12.3%,20.7%,19.2%,15.4%,11.4%,14.9%,18.3%,"65,290",16.9%,35.7%,29.7%,34.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lynwood city, California","67,265","16,268","15,313",43.8%,27.1%,21.3%,5.9%,1.9%,17.1%,26.3%,19.4%,15.3%,13.7%,8.2%,"57,063",16.1%,52.7%,34.2%,13.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malibu city, California","10,654","123,376","5,168",2.5%,7.5%,24.0%,38.2%,27.7%,14.6%,6.3%,6.1%,7.8%,12.2%,52.9%,"162,716",11.0%,11.0%,16.4%,72.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manhattan Beach city, California","35,506","96,343","13,313",1.7%,5.7%,15.8%,42.2%,34.6%,5.3%,7.6%,8.8%,9.3%,17.7%,51.3%,"153,926",3.2%,5.9%,13.2%,80.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maywood city, California","25,138","15,574","6,753",50.6%,27.5%,14.5%,4.9%,2.5%,22.4%,26.4%,23.6%,10.9%,11.3%,5.4%,"50,996",20.4%,62.0%,28.6%,9.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monrovia city, California","37,931","36,529","13,322",10.3%,19.8%,29.4%,25.7%,14.8%,13.1%,17.8%,15.4%,14.2%,19.0%,20.6%,"81,990",9.1%,24.9%,32.3%,42.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montebello city, California","62,640","24,035","18,842",25.3%,26.8%,28.6%,14.0%,5.3%,17.0%,23.4%,17.4%,13.1%,15.9%,13.2%,"62,781",12.2%,42.0%,34.0%,24.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monterey Park city, California","61,096","29,897","20,221",20.8%,23.6%,22.5%,23.0%,10.1%,19.5%,19.9%,17.7%,10.1%,16.9%,15.9%,"63,389",12.0%,37.2%,30.8%,32.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norwalk city, California","102,773","23,139","26,748",22.6%,28.9%,28.2%,15.6%,4.6%,12.3%,16.3%,20.1%,15.8%,22.0%,13.5%,"77,425",9.8%,35.1%,40.4%,24.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Palmdale city, California","169,450","22,687","42,687",24.4%,28.4%,31.4%,10.9%,4.8%,16.8%,22.4%,18.4%,14.9%,16.4%,11.1%,"65,444",15.8%,36.1%,34.6%,29.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Palos Verdes Estates city, California","13,347","102,182","4,866",2.0%,4.2%,14.9%,44.2%,34.7%,7.5%,7.5%,5.7%,5.6%,14.2%,59.5%,"197,826",5.4%,10.0%,10.2%,79.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paramount city, California","53,733","18,073","14,156",34.8%,27.8%,25.2%,8.4%,3.8%,16.4%,25.8%,23.4%,15.8%,11.8%,6.7%,"57,313",15.6%,49.4%,34.9%,15.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pasadena city, California","138,699","47,863","56,718",11.1%,13.8%,22.0%,27.9%,25.2%,17.9%,13.0%,13.7%,12.4%,17.0%,26.1%,"85,129",14.0%,23.9%,26.0%,50.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pico Rivera city, California","62,088","23,449","17,060",28.7%,30.5%,27.2%,9.9%,3.7%,18.5%,16.3%,18.8%,13.0%,17.9%,15.5%,"70,620",9.1%,37.8%,39.0%,23.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pomona city, California","151,713","21,257","40,367",28.6%,24.7%,29.2%,12.5%,5.0%,18.5%,21.4%,18.2%,15.9%,15.2%,10.8%,"62,407",17.3%,45.4%,33.8%,20.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rancho Palos Verdes city, California","42,287","68,059","15,181",1.9%,8.6%,20.4%,36.9%,32.2%,7.3%,7.9%,9.2%,9.7%,17.2%,48.9%,"146,163",3.7%,14.2%,17.3%,68.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Redondo Beach city, California","71,576","62,528","27,414",3.0%,10.3%,24.3%,39.3%,23.1%,6.7%,9.3%,12.8%,13.4%,20.2%,37.5%,"116,832",4.0%,10.2%,22.3%,67.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rolling Hills city, California","1,739","165,658",550,0.4%,8.4%,21.0%,35.2%,35.0%,6.4%,9.2%,3.3%,3.5%,12.0%,65.6%,"250,000",2.6%,10.7%,6.8%,82.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rolling Hills Estates city, California","8,280","75,038","2,750",0.7%,7.1%,21.2%,42.3%,28.6%,5.7%,14.4%,6.4%,8.7%,15.0%,49.8%,"149,632",1.7%,7.2%,14.6%,78.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rosemead city, California","51,185","21,646","14,413",33.6%,25.6%,19.7%,16.9%,4.2%,19.6%,22.1%,19.8%,14.0%,15.0%,9.5%,"60,006",13.5%,44.6%,36.5%,18.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Dimas city, California","34,924","37,182","11,396",6.2%,18.9%,36.8%,23.2%,14.9%,16.1%,10.6%,14.6%,12.5%,20.3%,26.0%,"90,234",8.8%,18.5%,30.1%,51.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Fernando city, California","23,946","22,085","6,466",35.4%,27.7%,22.7%,10.5%,3.7%,16.8%,24.5%,16.9%,12.2%,14.9%,14.7%,"60,655",9.3%,38.8%,40.4%,20.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Gabriel city, California","39,568","28,627","12,278",23.9%,23.0%,20.0%,24.1%,9.0%,17.0%,18.4%,18.5%,10.5%,17.5%,18.0%,"70,892",12.0%,35.3%,34.4%,30.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Marino city, California","12,513","80,565","4,026",3.1%,5.5%,13.3%,40.1%,38.0%,7.8%,6.9%,8.2%,7.5%,16.5%,52.9%,"164,423",7.1%,12.0%,23.2%,64.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Clarita city, California","228,673","39,639","68,406",8.8%,18.0%,35.8%,25.0%,12.3%,9.9%,13.6%,13.5%,12.6%,21.0%,29.4%,"100,932",9.2%,21.5%,26.6%,52.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Fe Springs city, California","19,219","26,008","5,229",19.3%,26.7%,34.2%,14.2%,5.7%,16.2%,19.0%,18.4%,12.8%,18.2%,15.4%,"69,922",11.8%,34.0%,37.8%,28.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Monica city, California","93,076","75,481","45,706",5.9%,8.1%,18.0%,38.6%,29.3%,17.4%,12.8%,10.2%,10.4%,15.9%,33.3%,"98,300",10.1%,11.5%,20.6%,67.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sierra Madre city, California","11,268","60,830","4,679",1.5%,8.7%,26.8%,33.0%,29.9%,9.5%,9.9%,17.4%,8.8%,17.4%,36.9%,"106,719",6.2%,8.1%,20.2%,71.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Signal Hill city, California","11,848","40,286","4,496",13.0%,13.0%,31.8%,27.3%,14.9%,16.5%,12.7%,14.9%,9.9%,24.7%,21.3%,"86,140",12.9%,20.2%,32.2%,47.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South El Monte city, California","19,567","17,565","5,103",42.8%,27.3%,19.8%,7.7%,2.4%,21.1%,26.7%,17.9%,11.2%,14.3%,8.8%,"54,208",21.1%,50.6%,35.4%,14.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
